C. & S.,Basic data and indicators,Country Code,Units,Notes,Series,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
174-1.33,COMOROS,COM,US$ Millions,1/,IMF,39,..,63,52,51,61,74,73,19,72,85,1/ 1995-2004: Banque centrale des Comores.
178-1.33,CONGO,COG,US$ Millions,,IMF,68,52,57,47,43,..,..,34,6,..,..,
180-1.33,"CONGO, DEMOCRATIC REPUBLIC OF THE",COD,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
184-1.33,COOK ISLANDS,COK,US$ Millions,1/,country,129,138,187,173,202,230,234,228,37,43,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
188-1.33,COSTA RICA,CRI,US$ Millions,,IMF,"2,773","3,171","3,137","3,408","3,776","3,758","4,073","4,339","1,464","1,834","3,256",
384-1.33,COTE D´IVOIRE,CIV,US$ Millions,,IMF,173,191,195,214,477,509,551,550,199,315,..,
191-1.33,CROATIA,HRV,US$ Millions,1/,IMF,..,"8,332","8,929","8,194","9,213","10,524","11,344","11,971","5,551","10,891","13,628","1/  The expenditure figures are those provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
192-1.33,CUBA,CUB,US$ Millions,1/,country,"2,614","2,608","2,546","2,819","3,069","3,302","2,783","2,645","1,152",417,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
535-1.33,CURAÇAO,CUW,US$ Millions,1/,IMF,676,778,820,712,644,572,604,706,282,462,..,1/ 1995-2006 source: Central Bank of the Netherlands Antilles.
196-1.33,CYPRUS,CYP,US$ Millions,,IMF,"2,603","2,930","2,924","2,526","2,870","3,274","3,449","3,251",734,"2,090","2,835",
203-1.33,CZECH REPUBLIC (CZECHIA),CZE,US$ Millions,,IMF,"8,174","7,792","7,614","6,766","7,041","7,695","8,283","7,967","3,853","3,358","5,283",
208-1.33,DENMARK,DNK,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source from 2005: VisitDenmark.
262-1.33,DJIBOUTI,DJI,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
212-1.33,DOMINICA,DMA,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
214-1.33,DOMINICAN REPUBLIC,DOM,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
218-1.33,ECUADOR,ECU,US$ Millions,,IMF,"1,039","1,251","1,487","1,557","1,729","2,018","2,279","2,194",704,"1,060","1,802",
818-1.33,EGYPT,EGY,US$ Millions,,IMF,"10,823","6,747","7,979","6,897","3,306","8,636","12,704","14,256","4,874","9,499","13,625",
222-1.33,EL SALVADOR,SLV,US$ Millions,,IMF,900,"1,054","1,285","1,203","1,161","1,227","1,370","1,664",755,"1,225","2,235",
226-1.33,EQUATORIAL GUINEA,GNQ,US$ Millions,1/,CB,..,..,..,..,..,..,..,..,..,..,..,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
232-1.33,ERITREA,ERI,US$ Millions,1/,country,..,..,..,..,48,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
233-1.33,ESTONIA,EST,US$ Millions,,IMF,..,"2,022","2,278","1,893","1,911","2,124","2,326","2,304",833,904,"1,630",
748-1.33,ESWATINI,SWZ,US$ Millions,,IMF,29,4,16,14,13,13,16,14,7,8,12,
230-1.33,ETHIOPIA,ETH,US$ Millions,,IMF,"1,981","2,236","2,108","2,279","2,138","2,505","3,548","3,529","2,282","2,601","3,883",
242-1.33,FIJI,FJI,US$ Millions,,IMF,989,966,"1,091","1,094","1,149","1,243","1,370","1,345",237,66,"1,069",
246-1.33,FINLAND,FIN,US$ Millions,,IMF,"5,418","5,774","5,409","4,011","4,017","5,210","5,762","5,944","1,757","1,541","3,557",
250-1.33,FRANCE,FRA,US$ Millions,,IMF,"63,975","66,054","67,402","66,441","63,557","67,717","72,518","70,786","35,796","44,665","67,369","1/ 1999-2004 source: ""Banque de France""."
254-1.33,FRENCH GUIANA,GUF,US$ Millions,1/,country,..,..,..,..,..,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
258-1.33,FRENCH POLYNESIA,PYF,US$ Millions,1/,IMF,720,746,835,758,782,..,..,..,..,..,..,1/ 1995-1999: country data.
266-1.33,GABON,GAB,US$ Millions,,IMF,40,61,44,29,..,..,..,..,..,..,..,
270-1.33,GAMBIA,GMB,US$ Millions,,IMF,104,78,110,92,88,128,174,157,53,67,..,
268-1.33,GEORGIA,GEO,US$ Millions,,IMF,"1,565","1,916","1,972","2,049","2,315","2,971","3,518","3,551",586,"1,351","3,782",
280-1.33,GERMANY,DEU,US$ Millions,,IMF,"51,626","55,486","58,721","50,669","52,234","40,011","42,895","41,779","22,068","22,137","31,257",
288-1.33,GHANA,GHA,US$ Millions,,IMF,"1,154","1,010","1,027",911,952,919,996,"1,490",191,664,895,
300-1.33,GREECE,GRC,US$ Millions,,IMF,"14,665","17,433","19,489","17,547","16,811","19,139","21,594","23,003","6,193","13,666","20,094",
308-1.33,GRENADA,GRD,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
312-1.33,GUADELOUPE,GLP,US$ Millions,1/,country,..,671,..,614,..,..,860,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
316-1.33,GUAM,GUM,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
320-1.33,GUATEMALA,GTM,US$ Millions,,IMF,"1,110","1,161","1,164","1,170","1,203","1,218","1,235","1,227",329,393,992,
324-1.33,GUINEA,GIN,US$ Millions,,IMF,1.7,..,17.1,27,16.6,16.6,4.7,10.4,1.3,12.8,10.6,
624-1.33,GUINEA-BISSAU,GNB,US$ Millions,,IMF,7,..,..,..,12,16,20,19,2.9,16.6,..,
328-1.33,GUYANA,GUY,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
332-1.33,HAITI,HTI,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
340-1.33,HONDURAS,HND,US$ Millions,,IMF,684,618,706,671,585,610,601,558,157,305,552,
344-1.33,"HONG KONG, CHINA",HKG,US$ Millions,1/,country,"37,098","42,426","46,259","42,229","37,654","38,138","42,521","33,045",..,..,..,"1/ The expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF) (Source: HKTB Visitors Survey).
2020-2022: IMF data, not comparable with those of previous years."
348-1.33,HUNGARY,HUN,US$ Millions,,IMF,"6,149","6,671","7,483","6,929","7,481","8,448","9,618","10,225","4,223","5,791","8,984",
352-1.33,ICELAND,ISL,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
356-1.33,INDIA,IND,US$ Millions,,IMF,"18,340","19,042","20,756","21,472","23,111","27,878","29,143","31,661","13,413","9,135","22,410",
360-1.33,INDONESIA,IDN,US$ Millions,,IMF,"9,463","10,302","11,567","12,054","12,566","14,691","17,915","18,405","3,603",548,"7,036",
364-1.33,"IRAN, ISLAMIC REPUBLIC OF",IRN,US$ Millions,1/,CB,"2,483","3,306","4,197","4,771","4,634","4,531","5,252",..,..,..,..,1/ From 2000 Source: Central Bank of Islamic Republic of Iran.
368-1.33,IRAQ,IRQ,US$ Millions,,IMF,"1,640","1,682","1,938","2,833","3,120","2,959","1,986","3,593",955,"1,963",..,1/ 1995-2002 Source: Central Bank of Iraq.
372-1.33,IRELAND,IRL,US$ Millions,,IMF,"9,255","10,165","11,101","11,476","12,649","14,294","15,276","14,808","4,665","5,207","14,186",
376-1.33,ISRAEL,ISR,US$ Millions,,IMF,"6,183","6,600","6,616","6,605","6,616","7,602","7,969","8,378","2,629","2,356","6,266",1/ Including the expenditures of foreign workers in Israel.
380-1.33,ITALY,ITA,US$ Millions,,IMF,..,..,..,"41,415","42,423","46,719","51,602","51,910","20,317","25,355","44,848",
388-1.33,JAMAICA,JAM,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
392-1.33,JAPAN,JPN,US$ Millions,,IMF,"16,197","16,865","20,790","27,285","33,456","36,978","45,276","49,209","11,396","5,351","10,633","1/ 2003: the calculation method has been changed since January 2003.
2006: the calculation method has been changed since January 2006."
400-1.33,JORDAN,JOR,US$ Millions,,IMF,"5,123","5,145","5,518","4,968","4,943","5,549","6,221","6,765","1,745","3,426","6,913",
398-1.33,KAZAKHSTAN,KAZ,US$ Millions,,IMF,"2,154","2,365","2,239","1,833","2,038","2,356","2,651","2,915",743,761,"1,734",
404-1.33,KENYA,KEN,US$ Millions,,IMF,"2,004","1,829","1,745","1,596","1,472","1,564","1,784","1,762",739,"1,222","1,704",
296-1.33,KIRIBATI,KIR,US$ Millions,1/,IMF,..,..,..,..,..,5.2,..,..,..,..,..,1/ 1995-2005: country data.
408-1.33,"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",PRK,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
410-1.33,"KOREA, REPUBLIC OF",KOR,US$ Millions,,IMF,"18,731","19,457","22,390","18,711","20,924","17,173","23,104","25,456","11,524","11,432","14,501",
414-1.33,KUWAIT,KWT,US$ Millions,,IMF,780,619,615,931,831,643,919,"1,198",526,708,"1,687",
417-1.33,KYRGYZSTAN,KGZ,US$ Millions,,IMF,486,585,468,482,477,480,518,708,195,259,827,
418-1.33,LAO PEOPLE´S DEMOCRATIC REPUBLIC,LAO,US$ Millions,,IMF,461,613,642,725,717,655,833,974,227,6,..,
428-1.33,LATVIA,LVA,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
422-1.33,LEBANON,LBN,US$ Millions,1/,IMF,"7,361","7,032","6,835","7,087","7,373","8,086","8,694","8,717","2,369","3,162",..,"1/ 1995-2001: the expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data. Due to lack of data on international tourism receipts concerning statistics on inbound tourism, the Department of “Internet and Statistics Service of the Ministry of Tourism” considers that a tourist spends an average of US$ 1,000."
426-1.33,LESOTHO,LSO,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
430-1.33,LIBERIA,LBR,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
434-1.33,LIBYA,LBY,US$ Millions,,IMF,..,..,..,..,..,..,..,150,93,..,..,
438-1.33,LIECHTENSTEIN,LIE,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
440-1.33,LITHUANIA,LTU,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
442-1.33,LUXEMBOURG,LUX,US$ Millions,1/,IMF,"7,317","7,746","7,963","6,183","6,196","6,171","5,843","5,862","4,668","5,906","5,737","1/ From 2010 the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
446-1.33,"MACAO, CHINA",MAC,US$ Millions,1/,IMF,"36,593","43,755","43,412","31,620","31,155","36,596","41,481","41,165","9,321","15,672","9,064",1/ 1995-2001: country data.
450-1.33,MADAGASCAR,MDG,US$ Millions,,IMF,596,609,740,696,912,849,879,951,202,118,405,
454-1.33,MALAWI,MWI,US$ Millions,,IMF,35,33,36,39,30,47,55,41,28,29,..,
458-1.33,MALAYSIA,MYS,US$ Millions,,IMF,"21,711","23,283","24,469","19,194","19,682","20,311","21,775","22,200","3,373",117,"7,816",
462-1.33,MALDIVES,MDV,US$ Millions,,IMF,"2,032","2,422","2,811","2,691","2,640","2,771","3,054","3,171","1,408","3,525","4,513","1/ As part of the Maldives Monetary Authority efforts to improve the coverage of the balance of payments statistics, the methodology has been revised from 2005."
466-1.33,MALI,MLI,US$ Millions,,IMF,144,178,214,186,202,207,231,235,82,191,..,
470-1.33,MALTA,MLT,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
584-1.33,MARSHALL ISLANDS,MHL,US$ Millions,1/,IMF,4.1,4.3,5.4,1.5,30,18,20,3.9,4.3,..,..,1/ 1995-2004 country data. Fiscal years (October 1 to September 30).
474-1.33,MARTINIQUE,MTQ,US$ Millions,1/,country,462,484,483,340,365,480,533,549,280,283,535,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
478-1.33,MAURITANIA,MRT,US$ Millions,,IMF,50,50,42,31,33,24,6.1,13.7,6.4,6.6,16.8,1/ 1999 country data.
480-1.33,MAURITIUS,MUS,US$ Millions,,IMF,"1,778","1,593","1,719","1,680","1,824","2,005","2,161","2,024",518,383,"1,652",
484-1.33,MEXICO,MEX,US$ Millions,,IMF,"15,870","16,252","18,627","21,504","23,270","24,619","26,044","27,126","12,133","21,508","30,398",
583-1.33,"MICRONESIA, FEDERATED STATES OF",FSM,US$ Millions,1/,country,..,..,..,..,..,..,..,..,..,..,..,1/ 1997-2008: country data.
498-1.33,"MOLDOVA, REPUBLIC OF",MDA,US$ Millions,,IMF,279,324,328,300,344,442,500,521,353,484,844,
492-1.33,MONACO,MCO,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
496-1.33,MONGOLIA,MNG,US$ Millions,,IMF,215,236,257,279,379,462,526,605,49,34,261,
499-1.33,MONTENEGRO,MNE,US$ Millions,,IMF,860,929,959,947,978,"1,110","1,224","1,277",180,903,"1,110",
500-1.33,MONTSERRAT,MSR,US$ Millions,,IMF,..,..,9.2,9.6,10.1,10.4,13.1,12.6,5.4,1.9,5.1,
504-1.33,MOROCCO,MAR,US$ Millions,,IMF,"8,491","8,201","9,070","7,765","7,922","9,086","9,520","9,949","4,514","4,670","10,415",
508-1.33,MOZAMBIQUE,MOZ,US$ Millions,,IMF,224,228,225,202,114,164,331,324,113,188,290,
104-1.33,MYANMAR,MMR,US$ Millions,,IMF,550,964,"1,687","2,199","2,289","1,988","1,670","2,501",..,..,..,
516-1.33,NAMIBIA,NAM,US$ Millions,,IMF,416,357,552,540,295,449,488,451,131,135,294,
520-1.33,NAURU,NRU,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
524-1.33,NEPAL,NPL,US$ Millions,,IMF,379,460,511,509,498,712,740,801,238,176,433,
528-1.33,NETHERLANDS,NLD,US$ Millions,1/,IMF,"17,675","19,429","19,669","17,558","19,422","21,630","23,925","22,114","10,708","10,457","18,583","1/ From 2012 source: Central Bank ""De Nederlandsche Bank""."
540-1.33,NEW CALEDONIA,NCL,US$ Millions,,IMF,288,287,287,246,248,..,..,..,..,..,..,1/ 1995-2001: country data.
554-1.33,NEW ZEALAND,NZL,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
558-1.33,NICARAGUA,NIC,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
562-1.33,NIGER,NER,US$ Millions,,IMF,51,59,100,80,84,91,114,130,97,143,..,
566-1.33,NIGERIA,NGA,US$ Millions,,IMF,638,616,605,461,"1,088","2,615","1,977","1,471",321,265,"1,142",
570-1.33,NIUE,NIU,US$ Millions,1/,country,..,..,..,..,..,..,..,..,..,..,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data.
2/ Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre."
807-1.33,NORTH MACEDONIA,MKD,US$ Millions,,IMF,237,270,298,268,283,331,387,401,253,387,483,
580-1.33,NORTHERN MARIANA ISLANDS,MNP,US$ Millions,,country,..,..,..,..,..,..,..,..,..,..,..,
578-1.33,NORWAY,NOR,US$ Millions,,IMF,"6,784","7,175","7,503","6,370","6,285","6,565","7,280","7,390","2,172","2,401","6,445",
512-1.33,OMAN,OMN,US$ Millions,,IMF,"1,723","1,888","1,971","2,247","2,324","2,717","2,975","3,193",722,511,..,
586-1.33,PAKISTAN,PAK,US$ Millions,,IMF,"1,014",938,971,915,790,865,845,992,765,884,"1,182",
585-1.33,PALAU,PLW,US$ Millions,1/ 2/,IMF,109,117,131,156,..,..,..,..,..,..,..,"1/ 1998-2004: country data.
2/ Fiscal years ending September 30."
591-1.33,PANAMA,PAN,US$ Millions,,IMF,"4,585","5,419","5,749","5,754","6,283","6,827","7,139","7,051","1,853","3,611","7,388",
598-1.33,PAPUA NEW GUINEA,PNG,US$ Millions,,IMF,2.4,3.8,2.8,1.8,1.6,15.3,4.2,4.7,1.5,2,..,
600-1.33,PARAGUAY,PRY,US$ Millions,,IMF,522,539,573,959,"1,039","1,250",959,983,212,102,475,
604-1.33,PERU,PER,US$ Millions,,IMF,"3,074","3,916","3,907","4,140","4,288","4,439","4,505","4,703","1,002","1,043","2,938",
608-1.33,PHILIPPINES,PHL,US$ Millions,,IMF,"4,963","5,599","6,059","6,414","6,289","8,349","9,715","11,455","2,499",953,"5,239",
616-1.33,POLAND,POL,US$ Millions,,IMF,"11,704","12,242","12,691","11,164","11,922","14,080","15,699","16,011","8,843","10,142","16,419",
620-1.33,PORTUGAL,PRT,US$ Millions,,IMF,"14,578","16,080","17,577","16,007","17,347","21,586","24,365","24,592","10,533","13,823","26,309",
630-1.33,PUERTO RICO,PRI,US$ Millions,1/,country,..,..,..,..,..,"3,904","3,340","3,637","2,939","2,803","3,335","1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data.
Data: Fiscal years (July-June)."
634-1.33,QATAR,QAT,US$ Millions,,IMF,"7,220","8,452","10,576","12,131","12,593","15,757","15,239","15,647","14,318","14,830","25,046",1/ Source 1999-2006: Qatar Central Bank.
638-1.33,REUNION,REU,US$ Millions,1/,country,404,403,387,339,360,402,511,459,181,227,439,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
642-1.33,ROMANIA,ROU,US$ Millions,,IMF,"1,904","2,307","2,388","2,229","2,474","3,553","3,879","4,240","1,619","3,525","5,036",
643-1.33,RUSSIAN FEDERATION,RUS,US$ Millions,,IMF,"17,876","20,198","19,451","13,186","12,822","14,938","18,735","17,288","6,029","6,330","6,819",
646-1.33,RWANDA,RWA,US$ Millions,,IMF,337,364,376,427,443,496,547,636,212,284,618,
461-1.33,SABA,BES,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
659-1.33,SAINT KITTS AND NEVIS,KNA,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
662-1.33,SAINT LUCIA,LCA,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
670-1.33,SAINT VINCENT AND THE GRENADINES,VCT,US$ Millions,,IMF,..,..,179,211,221,215,244,246,90,62,171,
882-1.33,SAMOA,WSM,US$ Millions,,IMF,148,137,148,142,149,167,192,206,23,0,57.6,1/ 2000-2003: country data.
674-1.33,SAN MARINO,SMR,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
678-1.33,SAO TOME AND PRINCIPE,STP,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
682-1.33,SAUDI ARABIA,SAU,US$ Millions,1/ 2/,IMF,"8,400","8,690","9,263","11,183","13,438","15,020","16,974","19,849","4,646","4,639","26,517","1/ 2003: the expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data.
2/ The country provides UNWTO with aggregate expenditure figures that differ significantly from the International Monetary Fund data used in the preparation of this edition of the Compendium. The country figures (Ministry of Tourism estimates) are as follows (US$ Mn):
                 2017            2018       2019          2020      2021       2022

1.33      32,490    31,397    34,980      7,002     5,293    29,422
1.34      26,074    24,927    27,561      5,360     3,924    26,212
1.35        6,415      6,470       7,419      1,642     1,369      3,210

1.36      26,074    24,927    27,561      5,360     3,924    26,212
1.37      21,172    20,532    22,115      4,456     2,514    22,391
1.38        4,902       4,396      5,446         905     1,410      3,821"
686-1.33,SENEGAL,SEN,US$ Millions,,IMF,469,495,482,417,439,470,557,586,136,416,..,
688-1.33,SERBIA,SRB,US$ Millions,1/,IMF,"1,080","1,221","1,352","1,322","1,461","1,706","1,941","2,000","1,430","2,179","3,074",1/ 2002-2006: the expenditure figures are those provided by the country to UNWTO.
891-1.33,SERBIA AND MONTENEGRO,SRB,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
690-1.33,SEYCHELLES,SYC,US$ Millions,,IMF,429,484,481,483,751,843,852,884,334,594,964,
694-1.33,SIERRA LEONE,SLE,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
702-1.33,SINGAPORE,SGP,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
658-1.33,SINT EUSTATIUS,BES,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
663-1.33,SINT MAARTEN (DUTCH PART),SXM,US$ Millions,,IMF,854,871,922,913,871,646,468,708,243,499,..,1/ 1995-2006: Source: Central Bank of the Netherlands Antilles - Including the estimates for Saba and Saint Eustatius.
703-1.33,SLOVAKIA,SVK,US$ Millions,,IMF,"2,365","2,702","2,642","2,480","2,812","3,024","3,318","3,350","1,340","1,179","1,481",
705-1.33,SLOVENIA,SVN,US$ Millions,1/,IMF,"2,793","2,966","3,052","2,594","2,718","3,055","3,378","3,353","1,461","2,032","3,142","1/ Since 2016: the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
90-1.33,SOLOMON ISLANDS,SLB,US$ Millions,,IMF,65,71,65,60,71,79,92,82,7,..,14,
