Indicator,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Total,Time_Detail,Source,FootNote,Nature,Units,Reporting Type,SeriesCode,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),533,Aruba,2015,21.6,2015,Central Bureau of Statistics Aruba: National Accounts (2013-2017 / TDS (preliminary results),"Provisional data.
The TSA has indeed been implemented in 2013 and is based on the Supply and Use Tables (SUT) of the National Accounts. The SUT will be implemented again for the year 2023. 
For the years in between, the data is collected from the same data sources, and are published as soon as the GDP data is published. The data also becomes final when the GDP data is final.",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),533,Aruba,2016,21.2,2016,Central Bureau of Statistics Aruba: National Accounts (2013-2017 / TDS (preliminary results),"Provisional data.
The TSA has indeed been implemented in 2013 and is based on the Supply and Use Tables (SUT) of the National Accounts. The SUT will be implemented again for the year 2023. 
For the years in between, the data is collected from the same data sources, and are published as soon as the GDP data is published. The data also becomes final when the GDP data is final.",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),533,Aruba,2017,21.2,2017,Central Bureau of Statistics Aruba: National Accounts (2013-2017 / TDS (preliminary results),"Provisional data.
The TSA has indeed been implemented in 2013 and is based on the Supply and Use Tables (SUT) of the National Accounts. The SUT will be implemented again for the year 2023. 
For the years in between, the data is collected from the same data sources, and are published as soon as the GDP data is published. The data also becomes final when the GDP data is final.",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2008,2.9,2008,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2009,2.8,2009,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2010,2.7,2010,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2011,2.7,2011,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2012,2.8,2012,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2013,2.9,2013,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2014,3.0,2014,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2015,3.1,2015,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2016,3.1,2016,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2017,3.1,2017,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2018,3.1,2018,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2019,2.4,2019,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2020,1.3,2020,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),36,Australia,2021,1.6,2021,"Australian Bureau of Statistics: Australian National Accounts: Tourism Satellite Account 2021-22, Table 1",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2008,5.2,2008,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2009,5.1,2009,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2010,5.4,2010,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2011,5.4,2011,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2012,5.4,2012,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2013,5.4,2013,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2014,5.4,2014,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2015,5.3,2015,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2016,5.3,2016,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2017,5.4,2017,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2018,5.5,2018,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2019,5.6,2019,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2020,3.5,2020,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Provisional data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),40,Austria,2021,3.0,2021,"Statistics Austria: Tourism Satellite Account (https://www.statistik.at/en/statistics/tourism-and-transport/tourism/tourism-satellite-accounts/national-tourism-satellite-accounts)
2008-2013 according to TSA:RMF 2001, 2015 onwards according to TSA:RMF 2008. Tourism without business trips",Nowcast or Forecast,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),31,Azerbaijan,2016,3.7,2016,The Statistical Committee,  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),44,Bahamas,2012,15.2,2012,Department of Statistics,  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2017,7.3,2017,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Revised data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2018,6.1,2018,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Revised data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2019,6.6,2019,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Revised data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),48,Bahrain,2020,1.4,2020,Information Government Authority - General Statistics Department: TSA tables & National Accounts,"Provisional data. There is no available data on ""Other Taxes on Production"" in the National Accounts, so the GDP is the same as GVA",C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),112,Belarus,2014,1.8,2014,"National Statistical Committee of the Republic of Belarus, Tourism Satellite Accounts",Revised data.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),112,Belarus,2016,2.2,2016,"National Statistical Committee of the Republic of Belarus, Tourism Satellite Accounts",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),112,Belarus,2018,2.5,2018,"National Statistical Committee of the Republic of Belarus, Tourism Satellite Accounts",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),112,Belarus,2020,1.4,2020,"National Statistical Committee of the Republic of Belarus, Tourism Satellite Accounts",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),56,Belgium,2016,2.2,2016,"TSA Belgium, 2016 and 2019. ",  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),56,Belgium,2019,1.9,2019,"TSA Belgium, 2016 and 2019. ",Break in series.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2008,4.9,2008,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2009,4.3,2009,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2010,5.2,2010,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2011,5.7,2011,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2012,5.2,2012,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2013,5.0,2013,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2014,4.6,2014,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2015,4.2,2015,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2016,4.7,2016,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2017,4.8,2017,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2018,5.3,2018,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2019,5.1,2019,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2020,1.8,2020,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),60,Bermuda,2021,2.2,2021,Department of Statistics: Government of Bermuda,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),64,Bhutan,2019,9.5,2019,https://www.tourism.gov.bt/resources/annual-reports,  ,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),72,Botswana,2009,3.7,2009,Botswana 2009 and 2016 Tourism Satellite Account report,The data correspond to Tourism GVA (direct) as a percentage of total GVA.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),72,Botswana,2016,4.9,2016,Botswana 2009 and 2016 Tourism Satellite Account report,The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2010,0.8,2010,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Provisional value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2011,0.7,2011,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Estimated value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2012,0.6,2012,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Estimated value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2013,0.7,2013,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Estimated value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2014,0.7,2014,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Estimated value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2015,0.8,2015,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Estimated value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),96,Brunei Darussalam,2016,0.8,2016,"Updating the Tourism Satellite account (TSA) and Passenger Exist Survey for Brunei Darussalam, 2010-2016 Report",The data correspond to Tourism GVA (direct) as a percentage of total GVA. Estimated value.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2008,1.9,2008,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2009,1.9,2009,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2010,1.9,2010,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2011,1.9,2011,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2012,1.9,2012,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2013,1.9,2013,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2014,1.9,2014,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2015,2.0,2015,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2016,2.1,2016,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2017,2.1,2017,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2018,2.1,2018,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2019,2.1,2019,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2020,1.0,2020,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),124,Canada,2021,1.0,2021,"Statistics Canada, National Tourism Indicators, via cooperation UNWTO - OECD.",The data correspond to Tourism GVA (direct) as a percentage of total GVA,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),152,Chile,2008,3.2,2008,"Undersecretary of Tourism, via cooperation UNWTO - OECD.",Estimate.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),152,Chile,2009,3.3,2009,"Undersecretary of Tourism, via cooperation UNWTO - OECD.",Estimate.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),152,Chile,2010,3.2,2010,"Undersecretary of Tourism, via cooperation UNWTO - OECD.",Estimate.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),152,Chile,2011,3.2,2011,"Undersecretary of Tourism, via cooperation UNWTO - OECD.",Estimate.,C,PERCENT,G,ST_GDP_ZS,
8.9.1,3152,Tourism direct GDP as a proportion of total GDP (%),152,Chile,2012,3.5,2012,"Undersecretary of Tourism, via cooperation UNWTO - OECD.",Estimate.,C,PERCENT,G,ST_GDP_ZS,
